Year,City,Season,Sex,Athletes
1896,Athina,Summer,M,176
1900,Paris,Summer,F,23
1900,Paris,Summer,M,1201
1904,St. Louis,Summer,F,6
1904,St. Louis,Summer,M,644
1906,Athina,Summer,F,6
1906,Athina,Summer,M,835
1908,London,Summer,F,44
1908,London,Summer,M,1980
1912,Stockholm,Summer,F,53
1912,Stockholm,Summer,M,2324
1920,Antwerpen,Summer,F,77
1920,Antwerpen,Summer,M,2588
1924,Chamonix,Winter,F,13
1924,Chamonix,Winter,M,300
1924,Paris,Summer,F,135
1924,Paris,Summer,M,2932
1928,Amsterdam,Summer,F,274
1928,Amsterdam,Summer,M,2603
1928,Sankt Moritz,Winter,F,28
1928,Sankt Moritz,Winter,M,433
1932,Lake Placid,Winter,F,21
1932,Lake Placid,Winter,M,231
1932,Los Angeles,Summer,F,126
1932,Los Angeles,Summer,M,1209
1936,Berlin,Summer,F,330
1936,Berlin,Summer,M,3629
1936,Garmisch-Partenkirchen,Winter,F,80
1936,Garmisch-Partenkirchen,Winter,M,588
1948,London,Summer,F,393
1948,London,Summer,M,3681
1948,Sankt Moritz,Winter,F,77
1948,Sankt Moritz,Winter,M,591
1952,Helsinki,Summer,F,521
1952,Helsinki,Summer,M,4411
1952,Oslo,Winter,F,109
1952,Oslo,Winter,M,585
1956,Cortina d'Ampezzo,Winter,F,132
1956,Cortina d'Ampezzo,Winter,M,689
1956,Melbourne,Summer,F,371
1956,Melbourne,Summer,M,2818
1956,Stockholm,Summer,F,13
1956,Stockholm,Summer,M,145
1960,Roma,Summer,F,613
1960,Roma,Summer,M,4739
1960,Squaw Valley,Winter,F,144
1960,Squaw Valley,Winter,M,521
1964,Innsbruck,Winter,F,200
1964,Innsbruck,Winter,M,894
1964,Tokyo,Summer,F,680
1964,Tokyo,Summer,M,4457
1968,Grenoble,Winter,F,211
1968,Grenoble,Winter,M,949
1968,Mexico City,Summer,F,783
1968,Mexico City,Summer,M,4775
1972,Munich,Summer,F,1060
1972,Munich,Summer,M,6054
1972,Sapporo,Winter,F,206
1972,Sapporo,Winter,M,802
1976,Innsbruck,Winter,F,231
1976,Innsbruck,Winter,M,897
1976,Montreal,Summer,F,1260
1976,Montreal,Summer,M,4813
1980,Lake Placid,Winter,F,235
1980,Lake Placid,Winter,M,836
1980,Moskva,Summer,F,1123
1980,Moskva,Summer,M,4136
1984,Los Angeles,Summer,F,1569
1984,Los Angeles,Summer,M,5229
1984,Sarajevo,Winter,F,277
1984,Sarajevo,Winter,M,996
1988,Calgary,Winter,F,315
1988,Calgary,Winter,M,1110
1988,Seoul,Summer,F,2203
1988,Seoul,Summer,M,6251
1992,Albertville,Winter,F,488
1992,Albertville,Winter,M,1313
1992,Barcelona,Summer,F,2723
1992,Barcelona,Summer,M,6663
1994,Lillehammer,Winter,F,522
1994,Lillehammer,Winter,M,1216
1996,Atlanta,Summer,F,3517
1996,Atlanta,Summer,M,6822
1998,Nagano,Winter,F,789
1998,Nagano,Winter,M,1390
2000,Sydney,Summer,F,4068
2000,Sydney,Summer,M,6579
2002,Salt Lake City,Winter,F,886
2002,Salt Lake City,Winter,M,1513
2004,Athina,Summer,F,4300
2004,Athina,Summer,M,6257
2006,Torino,Winter,F,955
2006,Torino,Winter,M,1539
2008,Beijing,Summer,F,4609
2008,Beijing,Summer,M,6290
2010,Vancouver,Winter,F,1033
2010,Vancouver,Winter,M,1503
2012,London,Summer,F,4654
2012,London,Summer,M,5863
2014,Sochi,Winter,F,1102
2014,Sochi,Winter,M,1643
2016,Rio de Janeiro,Summer,F,5034
2016,Rio de Janeiro,Summer,M,6145
