Season,Year_City,year,name,value
Summer,1992 Barcelona,1992-01-01,CHN,53
Summer,2012 London,2012-01-01,CHN,88
Summer,1920 Antwerpen,1920-01-01,DEN,13
Summer,1900 Paris,1900-01-01,DEN,7
Winter,1988 Calgary,1988-01-01,NED,7
Winter,1992 Albertville,1992-01-01,NED,4
Winter,1994 Lillehammer,1994-01-01,NED,4
Winter,1992 Albertville,1992-01-01,USA,11
Winter,1994 Lillehammer,1994-01-01,USA,13
Summer,1932 Los Angeles,1932-01-01,NED,8
Winter,2002 Salt Lake City,2002-01-01,FIN,7
Summer,1952 Helsinki,1952-01-01,FIN,22
Winter,1980 Lake Placid,1980-01-01,FIN,9
Summer,2000 Sydney,2000-01-01,FIN,4
Summer,1996 Atlanta,1996-01-01,FIN,4
Winter,1994 Lillehammer,1994-01-01,FIN,6
Summer,1912 Stockholm,1912-01-01,FIN,26
Summer,1920 Antwerpen,1920-01-01,FIN,34
Summer,1924 Paris,1924-01-01,FIN,37
Winter,2014 Sochi,2014-01-01,FIN,5
Summer,1948 London,1948-01-01,FIN,22
Winter,1992 Albertville,1992-01-01,NOR,17
Winter,1994 Lillehammer,1994-01-01,NOR,23
Winter,1998 Nagano,1998-01-01,NOR,22
Winter,2002 Salt Lake City,2002-01-01,NOR,24
Winter,2006 Torino,2006-01-01,NOR,19
Summer,2008 Beijing,2008-01-01,NOR,9
Summer,2016 Rio de Janeiro,2016-01-01,ROU,4
Summer,2000 Sydney,2000-01-01,NOR,10
Summer,2004 Athina,2004-01-01,NOR,6
Winter,1960 Squaw Valley,1960-01-01,NOR,6
Winter,1964 Innsbruck,1964-01-01,NOR,15
Summer,1920 Antwerpen,1920-01-01,NOR,29
Winter,1984 Sarajevo,1984-01-01,NOR,9
Summer,1984 Los Angeles,1984-01-01,NED,13
Summer,1968 Mexico City,1968-01-01,NOR,2
Summer,1972 Munich,1972-01-01,NOR,4
Summer,1988 Seoul,1988-01-01,NED,9
Summer,1996 Atlanta,1996-01-01,NED,19
Summer,2000 Sydney,2000-01-01,NED,25
Summer,1936 Berlin,1936-01-01,EST,7
Summer,1912 Stockholm,1912-01-01,NOR,10
Summer,1992 Barcelona,1992-01-01,FIN,5
Summer,2012 London,2012-01-01,FRA,35
Summer,1996 Atlanta,1996-01-01,NOR,7
Winter,1952 Oslo,1952-01-01,NOR,16
Winter,1956 Cortina d'Ampezzo,1956-01-01,NOR,4
Summer,1992 Barcelona,1992-01-01,NOR,7
Winter,1998 Nagano,1998-01-01,EST,0
Winter,2002 Salt Lake City,2002-01-01,EST,3
Summer,1936 Berlin,1936-01-01,NOR,6
Summer,1948 London,1948-01-01,NOR,7
Summer,1952 Helsinki,1952-01-01,NOR,5
Summer,1956 Melbourne,1956-01-01,NOR,3
Summer,1960 Roma,1960-01-01,NOR,1
Summer,1924 Paris,1924-01-01,NOR,10
Summer,1928 Amsterdam,1928-01-01,NOR,4
Summer,2012 London,2012-01-01,MAR,1
Summer,2004 Athina,2004-01-01,EST,3
Summer,2008 Beijing,2008-01-01,EST,2
Summer,1992 Barcelona,1992-01-01,EST,2
Summer,1996 Atlanta,1996-01-01,EST,0
Summer,2016 Rio de Janeiro,2016-01-01,ESP,17
Summer,1976 Montreal,1976-01-01,FRA,9
Summer,2000 Sydney,2000-01-01,EGY,0
Summer,1948 London,1948-01-01,IRI,1
Summer,1956 Melbourne,1956-01-01,FRA,14
Summer,1988 Seoul,1988-01-01,BUL,35
Summer,1924 Paris,1924-01-01,BUL,0
Summer,1956 Melbourne,1956-01-01,BUL,5
Summer,1960 Roma,1960-01-01,BUL,7
Summer,2016 Rio de Janeiro,2016-01-01,ITA,28
Summer,2008 Beijing,2008-01-01,ESP,18
Summer,1992 Barcelona,1992-01-01,CHA,0
Summer,2016 Rio de Janeiro,2016-01-01,AZE,18
Summer,1972 Munich,1972-01-01,SUD,0
Summer,2008 Beijing,2008-01-01,RUS,72
Summer,2012 London,2012-01-01,RUS,82
Summer,2000 Sydney,2000-01-01,ARG,4
Summer,2000 Sydney,2000-01-01,CUB,29
Summer,1992 Barcelona,1992-01-01,CUB,31
Summer,2004 Athina,2004-01-01,BLR,13
Summer,2008 Beijing,2008-01-01,BLR,18
Summer,2008 Beijing,2008-01-01,FRA,41
Summer,2016 Rio de Janeiro,2016-01-01,FRA,42
Summer,2012 London,2012-01-01,ARG,4
Summer,2004 Athina,2004-01-01,GRE,16
Summer,2000 Sydney,2000-01-01,CMR,1
Summer,1968 Mexico City,1968-01-01,CMR,1
Summer,1996 Atlanta,1996-01-01,TUR,6
Summer,1924 Paris,1924-01-01,CHI,0
Summer,1996 Atlanta,1996-01-01,ESP,17
Summer,2000 Sydney,2000-01-01,MEX,6
Summer,1992 Barcelona,1992-01-01,CHI,0
Summer,2004 Athina,2004-01-01,USA,101
Summer,1976 Montreal,1976-01-01,ESP,2
Summer,1980 Moskva,1980-01-01,ESP,6
Summer,1984 Los Angeles,1984-01-01,ESP,5
Summer,1964 Tokyo,1964-01-01,URS,93
Summer,1980 Moskva,1980-01-01,URS,195
Summer,1984 Los Angeles,1984-01-01,CHI,0
Summer,2004 Athina,2004-01-01,RUS,90
Summer,2012 London,2012-01-01,ITA,28
Summer,2008 Beijing,2008-01-01,ITA,27
Summer,2004 Athina,2004-01-01,FRA,33
Summer,2004 Athina,2004-01-01,NCA,0
Summer,1976 Montreal,1976-01-01,NCA,0
Summer,1968 Mexico City,1968-01-01,MEX,9
Summer,1992 Barcelona,1992-01-01,HUN,30
Summer,1936 Berlin,1936-01-01,HUN,16
Summer,1972 Munich,1972-01-01,NGR,1
Summer,1920 Antwerpen,1920-01-01,EGY,0
Summer,1928 Amsterdam,1928-01-01,EGY,4
Summer,1936 Berlin,1936-01-01,ITA,27
Summer,1972 Munich,1972-01-01,CHA,0
Summer,2012 London,2012-01-01,ALG,1
Summer,2016 Rio de Janeiro,2016-01-01,ALG,2
Summer,1988 Seoul,1988-01-01,ITA,14
Summer,1996 Atlanta,1996-01-01,ITA,35
Summer,2000 Sydney,2000-01-01,ITA,34
Summer,1984 Los Angeles,1984-01-01,ITA,32
Summer,1992 Barcelona,1992-01-01,ITA,19
Summer,1980 Moskva,1980-01-01,ITA,15
Summer,1976 Montreal,1976-01-01,KUW,0
Summer,1980 Moskva,1980-01-01,KUW,0
Summer,2016 Rio de Janeiro,2016-01-01,BRN,2
Summer,1996 Atlanta,1996-01-01,PAK,0
Summer,1964 Tokyo,1964-01-01,IRQ,0
Summer,2004 Athina,2004-01-01,IRQ,0
Summer,1992 Barcelona,1992-01-01,PAK,1
Summer,1960 Roma,1960-01-01,UAR,2
Summer,1964 Tokyo,1964-01-01,EGY,0
Summer,1988 Seoul,1988-01-01,LIB,0
Summer,1952 Helsinki,1952-01-01,EGY,1
Winter,2010 Vancouver,2010-01-01,PAK,0
Summer,2004 Athina,2004-01-01,QAT,0
Summer,2000 Sydney,2000-01-01,PAK,0
Summer,2004 Athina,2004-01-01,PAK,0
Summer,2012 London,2012-01-01,PAK,0
Summer,1984 Los Angeles,1984-01-01,MAS,0
Winter,2014 Sochi,2014-01-01,IRI,0
Summer,2008 Beijing,2008-01-01,PAK,0
Summer,2012 London,2012-01-01,IRI,12
Summer,2008 Beijing,2008-01-01,AZE,7
Summer,2000 Sydney,2000-01-01,AZE,3
Summer,1900 Paris,1900-01-01,GER,8
Summer,2016 Rio de Janeiro,2016-01-01,NED,19
Winter,1964 Innsbruck,1964-01-01,ITA,4
Winter,1968 Grenoble,1968-01-01,ITA,4
Summer,2016 Rio de Janeiro,2016-01-01,IRQ,0
Summer,1906 Athina,1906-01-01,GRE,35
Summer,1996 Atlanta,1996-01-01,CAN,22
Summer,2000 Sydney,2000-01-01,CAN,14
Summer,2016 Rio de Janeiro,2016-01-01,IRL,2
Summer,1928 Amsterdam,1928-01-01,USA,56
Summer,2008 Beijing,2008-01-01,AUS,46
Summer,2008 Beijing,2008-01-01,RSA,1
Winter,2010 Vancouver,2010-01-01,USA,37
Winter,2014 Sochi,2014-01-01,USA,28
Summer,1976 Montreal,1976-01-01,CAN,11
Summer,2008 Beijing,2008-01-01,CAN,19
Summer,2016 Rio de Janeiro,2016-01-01,USA,121
Summer,1900 Paris,1900-01-01,USA,54
Summer,2008 Beijing,2008-01-01,USA,110
Summer,2008 Beijing,2008-01-01,MAR,2
Summer,2004 Athina,2004-01-01,EGY,5
Summer,2012 London,2012-01-01,EGY,2
Summer,2008 Beijing,2008-01-01,EGY,1
