first_game,second_game,country,season,medal,athlete,min_year,newcomer,rank
1896,1900,NED,Summer,27.0,73.0,1900.0,yes,2.0
1896,1900,NOR,Summer,9.0,29.0,1900.0,yes,3.0
1896,1900,ESP,Summer,2.0,12.0,1900.0,yes,7.5
1896,1900,CUB,Summer,2.0,2.0,1900.0,yes,7.5
1896,1900,MEX,Summer,3.0,3.0,1900.0,yes,4.5
1896,1900,CAN,Summer,2.0,7.0,1900.0,yes,7.5
1896,1900,BEL,Summer,43.0,100.0,1900.0,yes,1.0
1896,1900,IND,Summer,2.0,5.0,1900.0,yes,7.5
1896,1900,BOH,Summer,3.0,9.0,1900.0,yes,4.5
1896,1904,NOR,Summer,2.0,6.0,1900.0,yes,3.0
1896,1904,CUB,Summer,5.0,6.0,1900.0,yes,2.0
1896,1904,CAN,Summer,48.0,61.0,1900.0,yes,1.0
1896,1904,RSA,Summer,0.0,8.0,1904.0,yes,4.5
1896,1904,NFL,Summer,0.0,1.0,1904.0,yes,4.5
1896,1908,NED,Summer,16.0,218.0,1900.0,yes,6.0
1896,1908,FIN,Summer,30.0,94.0,1906.0,yes,4.0
1896,1908,NOR,Summer,42.0,103.0,1900.0,yes,2.0
1896,1908,RUS,Summer,3.0,7.0,1900.0,yes,8.0
1896,1908,ARG,Summer,0.0,1.0,1900.0,yes,10.5
1896,1908,CAN,Summer,52.0,148.0,1900.0,yes,1.0
1896,1908,RSA,Summer,2.0,33.0,1904.0,yes,9.0
1896,1908,BEL,Summer,33.0,99.0,1900.0,yes,3.0
1896,1908,ISL,Summer,0.0,1.0,1908.0,yes,10.5
1896,1908,ANZ,Summer,19.0,48.0,1908.0,yes,5.0
1896,1908,BOH,Summer,6.0,41.0,1900.0,yes,7.0
1896,1912,NED,Summer,26.0,45.0,1900.0,yes,3.0
1896,1912,FIN,Summer,71.0,233.0,1906.0,yes,2.0
1896,1912,NOR,Summer,80.0,263.0,1900.0,yes,1.0
1896,1912,RUS,Summer,14.0,266.0,1900.0,yes,5.0
1896,1912,CAN,Summer,8.0,60.0,1900.0,yes,7.0
