"","Event","Sport","Season","Year_City","Year"
"1","Basketball Men's Basketball","Basketball","Summer","1992 Barcelona",1992
"2","Judo Men's Extra-Lightweight","Judo","Summer","2012 London",2012
"3","Football Men's Football","Football","Summer","1920 Antwerpen",1920
"4","Tug-Of-War Men's Tug-Of-War","Tug-Of-War","Summer","1900 Paris",1900
"5","Speed Skating Women's 500 metres","Speed Skating","Winter","1988 Calgary",1988
"6","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1988 Calgary",1988
"7","Speed Skating Women's 500 metres","Speed Skating","Winter","1992 Albertville",1992
"8","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1992 Albertville",1992
"9","Speed Skating Women's 500 metres","Speed Skating","Winter","1994 Lillehammer",1994
"10","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1994 Lillehammer",1994
"11","Cross Country Skiing Men's 10 kilometres","Cross Country Skiing","Winter","1992 Albertville",1992
"12","Cross Country Skiing Men's 50 kilometres","Cross Country Skiing","Winter","1992 Albertville",1992
"13","Cross Country Skiing Men's 10/15 kilometres Pursuit","Cross Country Skiing","Winter","1992 Albertville",1992
"14","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1992 Albertville",1992
"15","Cross Country Skiing Men's 10 kilometres","Cross Country Skiing","Winter","1994 Lillehammer",1994
"16","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1994 Lillehammer",1994
"17","Cross Country Skiing Men's 10/15 kilometres Pursuit","Cross Country Skiing","Winter","1994 Lillehammer",1994
"18","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1994 Lillehammer",1994
"19","Athletics Women's 100 metres","Athletics","Summer","1932 Los Angeles",1932
"20","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1932 Los Angeles",1932
"21","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","2002 Salt Lake City",2002
"22","Swimming Men's 400 metres Freestyle","Swimming","Summer","1952 Helsinki",1952
"23","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1980 Lake Placid",1980
"24","Badminton Men's Singles","Badminton","Summer","2000 Sydney",2000
"25","Sailing Women's Windsurfer","Sailing","Summer","1996 Atlanta",1996
"26","Sailing Women's Windsurfer","Sailing","Summer","2000 Sydney",2000
"27","Biathlon Women's 7.5 kilometres Sprint","Biathlon","Winter","1994 Lillehammer",1994
"28","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1912 Stockholm",1912
"29","Swimming Men's 400 metres Breaststroke","Swimming","Summer","1912 Stockholm",1912
"30","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1920 Antwerpen",1920
"31","Swimming Men's 400 metres Breaststroke","Swimming","Summer","1920 Antwerpen",1920
"32","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1924 Paris",1924
"33","Ice Hockey Men's Ice Hockey","Ice Hockey","Winter","2014 Sochi",2014
"34","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1948 London",1948
"35","Gymnastics Men's Team All-Around","Gymnastics","Summer","1948 London",1948
"36","Gymnastics Men's Floor Exercise","Gymnastics","Summer","1948 London",1948
"37","Gymnastics Men's Horse Vault","Gymnastics","Summer","1948 London",1948
